,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
10,CRUTZ LEELA,Sr Lead Data Scientist,Pune,"Sr. Lead Data Scientist ( WFH)
A Master’s degree in machine learning, mathematics, computer science,
statistics/economics, or related fields.
6+ years of hands-on experience developing and applying data-driven
solutions. in a corporate or consulting setting, preferably in a CPG/
Retail/ Healthcare industries.
Familiarity with regression, boosting, segmentation, MMM and Deep
Learning.
Ability to solve data science problems using both traditional
and advanced analytical (AI/ML/DL) techniques.
Experience with R, Python, Spark, TensorFlow, Caffe, PyTorch and Big data
platforms likeApache Spark and Hadoop.
Strong experience and knowledge of data engineering, data modelling,
algorithms,and data science.
Intellectual curiosity and excellent problem-solving skills, including the
ability to structureand prioritize an approach for maximum impact.
Job Types: Full-time, Regular / Permanent
Salary: ₹1,200,000.00 - ₹1,800,000.00 per month
Schedule:
Day shift
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 7378473775
Show Less
Report","₹2,91,478 /yr (est.)",Unknown,Company - Public,,,,Unknown / Non-Applicable
11,"RARR Technologies
4.7",Senior Data Scientist,Chennai,"Job Details - Senior Data Scientist
Job ID :
RARR Job 3131
Job Title :
Senior Data Scientist
Job Type :
Permanent
Job Location :
Chennai
Total Experience :
12 - 17 Years
Skills :
Ai, Ml, Python, Pyspark, Data Structure And Algorithm


Posted - 29/03/2023
Job Description :
Senior Data Scientist
Grade – P6
Total Years of Experience – 12 to 17 years
Relevant Experience – 5+ years
Location – Chennai
Notice - 0 to 30 days

Senior Data Scientist in Predictive Analytics and Time Series Modelling

Roles and Responsibilities of a Senior Data Scientist in Predictive Analytics and Time Series Modelling:

Scale the AI ML Products and Solutions to Analyze large and complex datasets to uncover insights.
Develop and implement predictive models in Products and Solutions using statistical and machine-learning techniques.
Evaluate model performance and make recommendations for improvement.
Communicate results of analysis and predictive models to stakeholders
Collaborate with cross-functional teams to deliver actionable insights and predictive models.
Stay current with industry trends and new technologies in predictive analytics.
Mentor junior data scientists and share expertise.

Requirements:

Bachelors or Masters degree in a related field (e.g ., Statistics, Mathematics, Computer Science, etc.)
AI and ML based statistician from IOT domain
Strong experience in predictive analytics and time series modelling: Design and implement scalable AI product and solutions for predictive modelling.
Knowledge of statistical and machine learning techniques
Experience with programming languages such as Python and PySpark is a must.
Experience in Signal Processing Techniques such as Fourier transforms, Wavelet transforms, and Kalman filters to extract relevant information from sensor signals and improve the accuracy of predictive models.
Show Less
Report","₹4,59,697 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,Software Development,2018,Less than $1 million (USD)
12,"MSD
4.2","Associate Manager, Omnichannel Customer Analytics, Oncology",Pune,"Job Description
Associate Manager, Omnichannel Customer Analytics
At our company we are leveraging analytics and technology, as we invent for life on behalf of patients around the world. We are seeking those who have a passion for using data, analytics, and insights to drive decision making, that will allow us to tackle some of the world’s greatest health threats.
Within our commercial Insights, Analytics, and Data organization we are transforming to better power decision-making across our end-to-end commercialization process, from business development to late lifecycle management. As we endeavor, we are seeking a dynamic talent to serve in the role of “Omnichannel Customer Analytics Associate Manager”.
You will leverage a variety of data sources including but not limited to, customer, content, channel, and web data to develop analyses to drive actionable insights and help make sound business decisions. You will work with Managers, Senior Managers and other analytics leaders to design and develop advanced analytics projects and solutions, improve analytics operational efficiency, explore new data sources and new ways of developing advanced analytics solutions and be involved into ad-hoc digital analytics projects for the digital analytics and transformation team in India. Oncology experience is highly preferred.
Primary Responsibilities
Support design and development of high impact, scalable digital marketing analytics solutions leveraging advanced analytics and data science techniques.
Conduct extensive omnichannel analytics work including assessment of promotion tactic, content, vendor, and channel performance, analysis of customer behavior and engagement journey to optimize customer experience.
Partner with analytics team to design experiments and develop analytics solutions including but not limited to micro-segmentation, digital attribution, campaign effectiveness, optimal targeting timing, frequency, location, content etc.
Extract, clean and analyze detailed data from internal database, vendors’ data feeds or web data extracts.
Work with other analytics team members in India to create and present compelling, easy-to-understand data visualization and data driven insights for analytics leaders from the U.S. or other countries.
Develop and maintain regular analytics deliverables and meet quality standards, timeliness, compliance, and excellent user experience.
Identify when an ongoing HCP digital analytical request should be migrated to the reporting and BI solutions team for automation; clearly articulate reporting requirements and facilitate automation needs; responsible for documentation and query standardization, etc.
Qualifications
Strong problem solving, business analysis and quantitative skills.
Familiar with both structured and unstructured data
Good understanding of statistical and data science principles to enable adequate understanding of design of experiments, algorithm models (inferential statistics, regression and classification techniques, test-control analysis, propensity score matching etc.), the appropriate application of different models, and effective communication to business audiences.
Understand CRM database concept, web tagging, data warehousing, cloud environment (AWS), data architecture and ETL
Hands on coding experience in Python/ R, and SQL are required.
Proficient in manipulating and analyzing complex data set for both planned and ad hoc analysis
Detail oriented and commitment to producing high-quality work and maximizing resources, while meeting deadlines
Positive attitude, professional, courteous demeanor, strong work ethic and ability to collaborate in a constructive manner with others in a dynamic working environment
Always curious and asking questions that would improve customer experience and engagement
Ability to present work logically and clearly
Ability to work on multiple tasks simultaneously
Digital media or customer analytics experience is a plus
Experience & Education
Data driven mindset with 1 plus years of work experience doing quantitative analysis that inform digital / omnichannel campaign, customer, channel, and content insights. Experience in Pharma commercial analytics domain is preferred.
Bachelor’s degree in quantitative analytics fields (e.g. engineering, statistics, economics, operational research, or information system) is required, advanced degree strongly preferred.
Our Human Health Division maintains a “patient first, profits later” ideology. The organization is comprised of sales, marketing, market access, digital analytics and commercial professionals who are passionate about their role in bringing our medicines to our customers worldwide.
Who we are …
We are known as Merck & Co., Inc., Rahway, New Jersey, USA in the United States and Canada and MSD everywhere else. For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world.
What we look for …
Imagine getting up in the morning for a job as important as helping to save and improve lives around the world. Here, you have that opportunity. You can put your empathy, creativity, digital mastery, or scientific genius to work in collaboration with a diverse group of colleagues who pursue and bring hope to countless people who are battling some of the most challenging diseases of our time. Our team is constantly evolving, so if you are among the intellectually curious, join us—and start making your impact today.
We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.
Current Employees apply HERE
Current Contingent Workers apply HERE
Search Firm Representatives Please Read Carefully
Merck & Co., Inc., Rahway, NJ, USA, also known as Merck Sharp & Dohme LLC, Rahway, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.
Employee Status:
Regular
Relocation:
VISA Sponsorship:
Travel Requirements:
Flexible Work Arrangements:
Shift:
Valid Driving License:
Hazardous Material(s):

Requisition ID:R233840
Show Less
Report","₹5,43,702 /yr (est.)",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891,$10+ billion (USD)
13,"Novo Nordisk
4.3",Statistical Programmer,Bangalore,"Department- Biostatistics- CDS GBS

Are you passionate about quality and simplification? Do you want to build quality within processes in the most efficient way? Do you have an innovative mindset to drive change in a future-ready environment and support your colleagues and stakeholders by challenging the status-quo in a friendly and open-minded way? If so, there is a job opportunity waiting for you as our new Statistical Programmer. At Novo Nordisk, we will challenge you to do the best work of your life. Apply Now.

The Position
The Statistical Programmer will be responsible for statistical programming and reviewing SAS programmes in the designated clinical trial. Will also be responsible for sharing best practises and adhering to project and other programming standards, as well as guiding and mentoring less experienced statistical programmers and peer-reviewing programmes written by statistical programmers. Additionally, the Statistical Programmer is accountable for:
CRF (Case report form), TVP (Trial Validation Plan), and data flow plan input and Programming of output according to specifications.
Trial execution and coordination daily within the trial statistics team.
Will be responsible for RMP (Risk Management Plan) programming input, IB (Investigator's Brochure) programming input, DSUR (Development Safety Update Report) /PSUR (Periodic safety update reports) programming input and Statistical Programming Specification.
The Statistical Programmer will work closely with the Study group, take initiative, and help with methodological or technically challenging tasks where innovation is essential. Serve as point of contact for programmers from the functional suppliers regarding the programming needed

Qualifications:
Bachelors or Masters in life sciences or natural sciences or Engineering or equivalent qualifications.
4 - 7 Years of experience in working as a statistical programmer within the pharmaceutical industry.
Experience with SAS programming, ADAM, CDISC (Clinical Data Interchange Standards Consortium), TLF (Technical loss factor), R Programming; expertise of reporting clinical trials, including handling, analysing, and reporting statistical data.
Thorough experience of programme validation and documentation.
Working Knowledge of advanced programming, data models, and clinical database technologies.
Solid understanding of drug development.
Excellent written and spoken English.
Analytical and result oriented.
Good team player with communication and stakeholder management skills.

About the Department:

Clinical & Data Science, Global Business Services (CDS-GBS), Biostatistics and Programming department was established in August 2010. The team has a good blend of experience and fresh perspective and comprises experienced statisticians and programmers, who form the core of the team. The main purpose & objective is to ensure high quality in preparing and conducting statistical analysis in accordance with the project milestones and provide statistical support and expertise to all clinical development activities within Novo Nordisk.

Working at Novo Nordisk

At Novo Nordisk, we don’t wait for change. We drive it. We’re a dynamic company in an even more dynamic industry, and we know that what got us to where we are today is not necessarily what will make us successful in the future. We embrace the spirit of experimentation, striving for excellence without fixating on perfection. We never shy away from opportunities to develop, we seize them. From research and development, through to manufacturing, marketing, and sales – we’re all working to move the needle on patient care.

Contact

To submit your application, please upload your CV online (click on Apply and follow the instructions).

Deadline
Apply before April 14th2023.

We commit to an inclusive recruitment process and equality of opportunity for all our job applicants.

At Novo Nordisk we recognize that it is no longer good enough to aspire to be the best company in the world. We need to aspire to be the best company for the world and we know that this is only possible with talented employees with diverse perspectives, backgrounds and cultures. We are therefore committed to creating an inclusive culture that celebrates the diversity of our employees, the patients we serve and communities we operate in. Together, we’re life changing.
Show Less
Report","₹5,00,281 /yr (est.)",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1923,$10+ billion (USD)
14,"Renous Consulting
3.1",Associate/Sr Associate Data Science,Hyderābād,"We recommend you join our Telegram Channel to know about all the Open Positions:
https://t.me/renousconsulting

Job Location: Hyderabad
Job Type: Permanent

Job Responsibilities:

Conduct both qualitative and quantitative evaluations of multiple performance metrics for the loan portfolio.
Create a credit risk model and execute various projects, including but not limited to computing expected credit loss (ECL), developing an early warning system (EWS) rating methodology, conducting stress testing, and enhancing credit decision-making processes
Prepare a comprehensive report documenting the analysis, methodology, and findings, and deliver a presentation to internal stakeholders.
Design, develop, and sustain scorecards and dashboards that offer timely insights on the performance of portfolio risks.
Improve the existing system's risk monitoring reports and fulfill ad-hoc data requests from various stakeholders.
Oversee the aggregation and consolidation of data from various sources across multiple systems, which will be utilized for risk dashboards and machine learning mode
Utilize both internal and external data sources to address business challenges across various domains (such as underwriting and risk monitoring) in a dynamic setting, incorporating both conventional and non-traditional data sources.

Job Requirements:

A Master's or Bachelor's degree in Business Administration, Statistics, or a related field
A minimum of 2 years of practical experience in deploying statistical and machine learning algorithms (such as regression and decision trees), along with proficiency in conducting statistical analyses using Python or R.
Areas of expertise/competencies: Cluster analysis, Data analysis, Financial modeling, Logistic regression, Machine learning, Risk analysis, Scorecard development, Statistical modeling.
Technical Skills: Python/R, SQL, Power-BI

About the client :- The client is an NBFC
Show Less
Report","₹4,32,666 /yr (est.)",1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable
15,"LinkCxO Global
3.9",Director of Machine learning,Pune,"Company Name
Confidential
Location
Pune, Maharashtra, India
Job Type
Full Time

Experience
Min-
15 years
Max-
Not disclosed
Posted on
Mar 29, 2023
Function
Information Technology

Industry
IT & ITES

Education
Graduate/Post-Graduate

Skills
Strong problem-solving skills

Job Description:
Roles and Responsibilities • Work with senior leaders from all departments to explore opportunities for using advanced analytics.• Take on a technical thought leadership role in cooperation with the analytics leadership team, helping to establish the strategy and standards for machine learning and advanced analytics.• Lead the work of other Machine learning team members to provide support and assistance while also ensuring quality.• Coach and mentor talented data scientists and analytics professionals in the use of advanced statistical, machine learning, and artificial intelligence methodologies.Position Description• Proficiency in Java, C++, Perl/Python (or related scripting languages);• Experience with R, Matlab, or any other statistical software;• Experience with predictive forecasting and developing predictive softwareStrong communication and data presentation skills; experience coaching junior team members on machine learning and data modelling apps; classification (svm, decision tree, random forest, neural network)•Regression (linear, polynomial, logistic, etc) Conventional Optimisation(gradient descent, newton raphson, etc)Figure theory (network analytics)Optimisation Heuristics (genetic algorithm, swarm theory)In-depth study (lstm, convolutional nn, recurrent nn)Have to beThe ideal candidate should be an expert in artificial intelligence (including deep learning algorithms), machine learning, and/or natural language processing (NLP), as well as programming traditional machine learning algorithms, algorithm design, and algorithm usage. The candidate should also have programming expertise in Python or R. Experience with large data sets and distributed computing in the Hadoop ecosystem are preferred. Strong problem-solving skills. Fluency with django.
Show Less
Report","Size
1 to 50 Employees
Founded
2015
Type
Company - Private
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2015,Unknown / Non-Applicable
16,"SuperOps.ai
4.3",Senior Machine Learning Engineer,Chennai,"Seniority level
Mid-senior
Location
Chennai
Nature of job
Full-time
About your role at SuperOps.ai
SuperOps.ai is a SaaS startup focused on solving problems for modern IT teams using AI. It helps IT teams to efficiently manage IT infrastructure like networks and systems on the cloud or on-premises, and business-critical applications. Founded by Arvind Parthiban, a serial entrepreneur, and Jayakumar Karumbasalam, a veteran in the IT space. Both Arvind and Jayakumar come with years of experience in leadership positions at Freshworks & Zoho.
We are looking for a Senior ML Engineer to work closely with the founding team. The ideal candidate will be a person who is passionate about big data systems & ML, is willing to learn from the best technical architects, takes ownership, has a sense of urgency, and is a team player.
Communicating and collaborating with people is always at ease. It's been a huge learning curve with a positive and motivating environment and good exposure overall.
Sai Krishna N
Junior ML Engineer
You'll be responsible for
Build data platforms - including pipelines, storage, batch & streaming processing
Work closely with AI architects & data scientists to create ML models
Work closely with AI architects to design and implement and maintain ML models in production
Develop, test, and maintain the ML models and data platforms in production
You're someone who
4 to 6 years of experience in developing big data systems
Proficient experience in Apache Spark and Hadoop framework
Sound knowledge in data structures, algorithms, data pipelines, batch & stream data processing
Experience in building data platforms and implementing ML models
Experience in deploying ML models in multi-tenant production environments
Show Less
Report","₹4,08,518 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2020,Unknown / Non-Applicable
17,"LinkCxO Global
3.9",Director Data Analytics,Bangalore,"Company Name
Confidential
Location
Bengaluru, Karnataka, India
Job Type
Full Time

Experience
Min-
15 years
Max-
Not disclosed
Posted on
Mar 29, 2023
Function
Confidential

Industry
FMCG / Retail

Education
BS degree in Computer Science, Applied Mathematics, Physics, Statistics, Economics or other related quantitative field

Skills
Strong MS-Excel and PowerPoint skills

Job Description:
As a Director, you’ll take the lead as • Assist the company's decision-making across all functional areas, such as product management, user experience, technology, marketing, and merchandising, with timely information and data products.• Work together to develop and implement a product roadmap with functional guidance from Product Management, UX, Technology, Digital Merchandising, and Marketing.• Persuade business executives, associates, and technology partners to develop the data foundations, analytics tools, and mathematical apps that power the company.• Coordinate the management of numerous resources and analytical tasks concurrently to ensure timely, high-quality, and impactful completion.Democratize data and insights as you work to provide self-service tools to your partners so they can make better choices more quickly.• Promote the use of analytics and data science.Lead best practises in experimental design and test & learn activities. Transform company strategy into analytic workstreams that support the business. Deliver executive level business case presentations that effectively convey the team's work.• Raise the team's overall standard by identifying problems, coming up with potential solutions, and executing well.• Take the helm of a group of statisticians and BI specialists who provide strategic direction for initiatives and leadership growth for the business. creates an environment where data and analytical professionals can advance their careers by taking on more responsibility and adding value to the organisation; actively mentors team members focused on modeling, reporting, and analytics to be user-centric in delivering high-quality results;• Act as a thought leader in how we assess a business area, from the code we use to gather data to the application of the insights you glean from reports and analysis based on that data, in order to hold products and businesses responsible for results in comparison to goals and objectives.• Utilize data, insights, testing, and measurement plans to persuasively communicate, share stories, and instruct business leaders.This work description outlines the essential duties of this position. Work assignments may alter at any moment due to business requirements.• A BS in computer science, applied mathematics, physics, statistics, economics, or another quantitative discipline is required.• Digital - incrementality analysis, experimental design, and search, explore, and checkout funnel optimisation• Merch - Brand support, brand launches, quantification forecasting, category success, and content efficacy.• Advertising - TrafficStrong executive-level client-facing skills and the ability to confidently communicate difficult analytical concepts to a non-technical executive audience. Understanding of the product model. Capability to work with and lead an Agile team. Experience with the Hadoop ecosystem, data visualisation tools (DOMO, Tableau, PowerBI), and automation tools. Six or more years of experience working with web data, such as Adobe Analytic.• Proficient use of PowerPoint and MS Excel• Solid familiarity with data structures and algorithm construction• A solid grasp of mathematical ideas and the capacity to comprehend difficult mathematical concepts.• Possessing at least a basic understanding of one programming tool, such as Python, R, SQL, Java/Scala, etc.Preferred RequirementsStrong analytical abilities, including model development, hypothesis design and testing, and the capacity to teach analytical concepts to others. Experience leading projects involving complex BI requirements, a variety of business stakeholders, and a team of BI professionals with a variety of skills. Experience creating data governance frameworks. Proven track record of success.
Show Less
Report","Size
1 to 50 Employees
Founded
2015
Type
Company - Private
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2015,Unknown / Non-Applicable
18,"Thomson Reuters
4.4","Lead Software Engineer, AI Platform",Bangalore,"About the Role
In this opportunity you will:
Build and evolve the AI Platform which includes being able to assess the current architecture and map to the “to-be” state.
Participate in all aspects of the development lifecycle: Ideation, Design, Build, Test and Operate
Utilize a variety of software and tools both commercial and open source
Enable self-service tooling for data science teams to create and maintain models
Design, develop, integrate, and deploy tools for Data Science and ML Research, such as, Model Monitoring, Model Governance, Model Deployment, Data Management, Feature Engineering, among others.
Be able to design, implement, and operate a framework for Machine Learning Operations (MLOps).
Design, evaluate, and advise on the day-to-day work of Software Engineering for Machine Learning
Ensure consistency with cloud architectural guiding principles
Continuously challenge and evolve the existing platform capabilities and keep up to date with new offerings
About You
You’re a fit for the role of Lead AI Platform Engineer if you meet all or most of these criteria:
7 years in Software Engineering
Hands-on experience working with at least one public cloud technology (AWS, Azure)
Experience with service-oriented and/or microservices architecture
Experience with AWS Sagemaker, Azure ML or similar Cloud AI capabilities
Proficiency in modern programming languages such as Python, JavaScript, TypeScript, C/C++, Java.
Experience with relational and non-relational databases
Experience with Agile development and delivery – Scrum, Lean, XP, Kanban methodologies.
Hands on DevOps experience – CI/CD in AWS, Git, Monitoring, Log Analytics

Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.
We are powered by the talents of 25,000 employees across more than 75 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.
Accessibility
As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.
We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.
Protect yourself from fraudulent job postings click here to know more.
More information about Thomson Reuters can be found on https://thomsonreuters.com.
Apply Now: click Apply Now
Show Less
Report","₹7,07,107 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2008,$5 to $10 billion (USD)
19,"Mastercard
4.3",Data Scientist II,Delhi,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Data Scientist II
Job Description –Data & Analytics Team – Data Scientist
Overview
Data & Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercard’s Strategy, Product Design and Innovation within the Products & Innovation business. We build internal analytic partnerships, strengthening their focus on the health of the business, portfolio and revenue optimization opportunities, initiative tracking, new product development and Go-To Market strategies.

Are you excited about Data Assets and the value they brings to an organization?
Are you an evangelist for data driven decision making?
Are you motivated to be part of a Global Analytics team that builds large scale Analytical Capabilities supporting end users across 6 continents?
Do you want to be the go-to resource for data analytics in the company?

Role
Work closely with Global Commercial team to architect, develop, and maintain advanced reporting and data visualization capabilities on large volumes of data in order to support Products & Innovation Global Commercial team analytics and reporting needs across products, markets and services.
Translate business requirements into tangible solution specifications and high quality, on time deliverables
Create repeatable processes to support development of modeling and reporting
Effectively use tools to manipulate large-scale databases, synthesizing data insights. Provide 1st level insights/conclusions/assessments and present findings via Excel and PowerPoint.
Apply quality control, data validation, and cleansing processes to new and existing data sources
All About You
Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis
Financial Institution or a Payments experience a plus
Experience presenting data findings in a readable and insight driven format. Experience building support decks.
Advanced SQL coding
Experience on Platforms/Environments: SQL Server, Microsoft BI Stack
Experience on SQL Server Integration Services (SSIS), SQL Server Analysis Services (SSAS) and SQL Server Reporting Services (SSRS) will be an added advantage
Experience in building data models a plus
Experience with data visualization tools such as Tableau, Domo, PowerBI a plus
Experience with Hadoop environments, Python, R, WPS, a plus
Excellent problem solving, quantitative and analytical skills
In depth technical knowledge, drive and ability to learn new technologies
Strong attention to detail and quality
Team player, excellent communication skills
Must be able to interact with management, internal stakeholders and collect requirements
Must be able to perform in a team, use judgment and operate under ambiguity

Education
Bachelor’s or Master’s Degree in a Computer Science, Information Technology, Engineering, Mathematics, Statistics, M.S./M.B.A. preferred

Additional Competencies
Excellent English, quantitative, technical, and communication (oral/written) skills
Analytical/Problem Solving
Strong attention to detail and quality
Creativity/Innovation
Self-motivated, operates with a sense of urgency
Project Management/Risk Mitigation
Able to prioritize and perform multiple tasks simultaneously
Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.
Show Less
Report","Size
10000+ Employees
Founded
1966
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$5 to $10 billion (USD)",10000+ Employees,Company - Public,Finance,Financial Transaction Processing,1966,$5 to $10 billion (USD)
20,"Zscaler
4.3",Data Scientist,Bangalore,"Company Description

For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose-built cloud platform delivers the entire gateway security stack as a service through 150 global data centers to securely connect users to their applications, regardless of device, location, or network in over 185 countries protecting over 3,900 companies and have detected 100 Million threats/day.
We work in a fast-paced, dynamic and make it happen culture. Our people are some of the brightest and passionate in the industry that thrives on being the first to solve problems. We are always looking to hire highly passionate, collaborative and humble people that want to make a difference.

Job Description

As a Data Scientist, you will work in an award-winning team that does full-lifecycle full-stack Machine Learning product development, from feature engineering to model building and evaluation.
Our team’s use cases include but are not limited to threat detection, malware detection, content classification, anomaly detection, and AIOps (advanced networking diagnosis). These various use cases give you the opportunity and challenges to experience multiple machine learning algorithms and tools. You will design and create machine learning models to provide faster and more effective ways to address cloud security, cloud operations, and cloud intelligence use cases.
You might not be an expert in every stage of a Machine Learning project, but you should have interests and curiosity in various parts ranging from the data to the model’s business impact.

Qualifications

Required Skills :
A degree in Machine Learning, Computer Science, or Electrical Engineering from a reputable school (Ph.D. degree preferred but not required)
Passion for leveraging ML/AI to solve real-world business problems (better security and better business results)
5+ years of industry experience in one or more machine/deep learning frameworks
5+ years of industry experience with Python and SQL
Excellent interpersonal, technical, and communication skills
Good business sense
Ability to learn, evaluate, and adopt new technologies fast
Ability to lead and execute projects from start to finish
Solid computer science foundation

Desirable Skill Sets:
7+ years professional experience
Experience with various public cloud services (such as AWS, Google, Azure) and ML automation platforms (such as Kubeflow)
Experience with various program languages such as Go
Good understanding of operating systems and distributed systems
Familiarity with networking and networking security

Additional Information

#LI-YK1
Why Zscaler?

People who excel at Zscaler are smart, motivated and share our values. Ask yourself: Do you want to team with the best talent in the industry? Do you want to work on disruptive technology? Do you thrive in a fluid work environment? Do you appreciate a company culture that enables individual and group success and celebrates achievement? If you said yes, we’d love to talk to you about joining our award-winning team.

Additional information about Zscaler (NASDAQ: ZS ) is available at https://www.zscaler.com.
Zscaler is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
Zscaler is committed to providing reasonable support (called accommodations or adjustments) in our recruiting processes for candidates who are differently abled, have long term conditions, mental health conditions or sincerely held religious beliefs, or who are neurodivergent or require pregnancy-related support. If you need support, please contact us by sending an email to accommodations@zscaler.com. This email address is used specifically for accommodation requests only, and resumes, CV's, or questions other than accommodations will not be replied to or accepted.
Show Less
Report","₹10,17,587 /yr (est.)",5001 to 10000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2008,Unknown / Non-Applicable
